Number,compound,Element1,Element2,Class,Pauling EN,Martynov-Batsanov EN,Gordy EN,Mulliken EN,Allred-Rochow EN,Pauling Mean EN,Martynov-Batsanov Mean EN,Gordy Mean EN,Mulliken Mean EN,Allred-Rochow Mean EN,Pauling Ionic Character,Martynov Ionic Character,Gordy Ionic Character,Mulliken Ionic Character,Allred-Rochow Ionic Character,Sum of Valence e-,Mean # e-,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight difference,Mean atomic weight,Atomic weight sum,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2xatomic radius difference,Covalent radius sum,Mean covalent radius,Covalent radius ratio,2xcovalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zungerradius sum ratio,2xZunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2xionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2xcrystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group Number difference,Family number sum,Mean family number,Family number difference,Quantum number sum,Mean quantum number ,Quantum number difference
6,LiF,Li, F,2,3,2.88,6.8631,7.4,3.281,2.48,2.34,6.65385,6.71,2.5525,0.894600775,0.87426767,0.99999231,0.999998866,0.932203198,8,4,12,6,6,12.057403,12.9697015,25.939403,1.95,0.975,0.344827586,1.9,2.35,1.175,0.441717791,1.82,2.015,1.0075,0.251552795,2.41,1.205,1.95,0.975,0.344827586,1.9,2.09,1.045,0.756302521,0.58,4,2,0,18,9,16,9,4.5,7,1,0.5,1
13,LiCl,Li, Cl,2,2.18,2.08,3.6223,5.29,1.957,2.07,1.94,5.03345,5.655,1.8905,0.695200166,0.660947393,0.962381688,0.999084486,0.616134194,8,4,20,14,10,28.5117,21.19685,42.3937,2.45,1.225,0.689655172,0.9,2.62,1.31,0.607361963,1.28,2.62,1.31,0.627329193,1.2,0.6,2.45,1.225,0.689655172,0.9,2.57,1.285,0.538922156,1.54,5,2.5,1,18,9,16,9,4.5,7,1,0.5,1
30,LiBr,Li, Br,2,1.98,1.93,3.1856,4.58,1.773,1.97,1.865,4.8151,5.3,1.7985,0.62472643,0.605929322,0.920897582,0.99472143,0.544282532,8,4,38,32,19,72.963,43.4225,86.845,2.6,1.3,0.793103448,0.6,2.77,1.385,0.699386503,0.98,2.81,1.405,0.745341615,0.82,0.41,2.6,1.3,0.793103448,0.6,2.72,1.36,0.494505495,1.84,6,3,2,18,9,16,9,4.5,7,1,0.5,1
40,LiPd,Li, Pd,1,1.22,1.18,0.5657,1.44,0.678,1.59,1.49,3.50515,3.73,1.251,0.310714689,0.29397173,0.076887459,0.404527458,0.108563435,11,5.5,49,43,24.5,99.479,56.6805,113.361,2.85,1.425,0.965517241,0.1,2.91,1.455,0.785276074,0.7,4.06,2.03,0.657142857,1.68,0.84,2.85,1.425,0.965517241,0.1,1.68,0.84,0.866666667,0.24,7,3.5,3,11,5.5,9,5,2.5,3,2,1,2
41,LiAg,Li, Ag,1,0.95,0.17,0.6299,1.43,0.958,1.455,0.985,3.53725,3.725,1.391,0.201982698,0.007198962,0.094432538,0.400239578,0.205022129,12,6,50,44,25,100.9272,57.4046,114.8092,3.05,1.525,0.90625,0.3,2.97,1.485,0.82208589,0.58,3.985,1.9925,0.677894737,1.53,0.765,3.05,1.525,0.90625,0.3,2.19,1.095,0.697674419,0.78,7,3.5,3,12,6,10,5,2.5,3,0,0,0
47,LiI,Li, I,2,1.68,1.86,2.7096,3.75,1.447,1.82,1.83,4.5771,4.885,1.6355,0.506187802,0.57890634,0.840463579,0.970270784,0.407528347,8,4,56,50,28,119.96347,66.922735,133.84547,2.85,1.425,0.965517241,0.1,2.96,1.48,0.81595092,0.6,3.195,1.5975,0.98447205,0.05,0.025,2.85,1.425,0.965517241,0.1,2.96,1.48,0.436893204,2.32,7,3.5,3,18,9,16,9,4.5,7,1,0.5,1
72,LiAu,Li, Au,1,1.56,0.29,4.7568,2.76,1.008,1.76,1.045,5.6007,4.39,1.416,0.455779074,0.020805516,0.996506274,0.851088037,0.224320609,12,6,82,76,41,190.02554,101.95377,203.90754,2.8,1.4,0.931034483,0.2,2.97,1.485,0.82208589,0.58,4.27,2.135,0.605263158,2.1,1.05,2.8,1.4,0.931034483,0.2,2.41,1.205,0.59602649,1.22,8,4,4,12,6,10,5,2.5,3,2,1,2
73,LiHg,Li, Hg,1,1.02,0.59,5.0246,1.9,0.848,1.49,1.195,5.7346,3.96,1.336,0.229025515,0.083345821,0.998184966,0.594445495,0.164542667,13,6.5,83,77,41.5,193.649,103.7655,207.531,2.95,1.475,0.966666667,0.1,3.12,1.56,0.914110429,0.28,4.02,2.01,0.668049793,1.6,0.8,2.95,1.475,0.966666667,0.1,1.73,0.865,0.922222222,0.14,8,4,4,13,6.5,11,5,2.5,3,2,1,2
74,LiTl,Li, Tl,1,0.64,0.79,1.4395,0.19,0.877,1.3,1.295,3.94205,3.105,1.3505,0.097331588,0.144462198,0.404313086,0.008984397,0.174926042,4,2,84,78,42,197.4423,105.66215,211.3243,3.35,1.675,0.763157895,0.9,3.11,1.555,0.90797546,0.3,3.845,1.9225,0.720357942,1.25,0.625,3.35,1.675,0.763157895,0.9,1.93,0.965,0.873786408,0.26,8,4,4,14,7,12,6,3,4,1,0.5,1
75,LiPb,Li, Pb,1,0.82,1.02,1.5181,0.89,0.942,1.39,1.41,3.98135,3.455,1.383,0.154730696,0.229025515,0.437945749,0.179650656,0.19895728,5,2.5,85,79,42.5,200.259,107.0705,214.141,3.25,1.625,0.805555556,0.7,3.1,1.55,0.901840491,0.32,3.7,1.85,0.770334928,0.96,0.48,3.25,1.625,0.805555556,0.7,2.39,1.195,0.604026846,1.18,8,4,4,15,7.5,13,6,3,4,1,0.5,1
