material Group_Number_difference Pauling_EN Gordy_EN Mulliken_EN Mulliken_Mean_EN Pauling_Mean_EN Gordy_Mean_EN Sum_of_Valence_e- Atomic_number_sum Atomic_radius_sum Covalent_radius_sum Covalent_radius_ratio 2xcovalent_radius_difference Crystal_radius_sum Crystal_radius_ratio 2xcrystal_radius_difference Period_number_difference Quantum_number_sum Quantum_number_difference Martynov-Batsanov_EN Allred-Rochow_EN Martynov-Batsanov_Mean_EN Allred-Rochow_Mean_EN Martynov_Ionic_Character Atomic_radius_ratio Zungerradius_sum_ratio 2xZunger_radius_sum_difference Ionic_radius_ratio 2xionic_radius_difference Group_number_sum Family_number_sum
CuTm_group1 8 0.65 2.1654 1.38 3.79 1.575 4.7464 14 98 3.1 2.73 0.75 0.78 1.73 0.6960784309999999 0.62 2 5 1 0.12 0.76 1.14 1.47 0.003593528 0.771428571 0.566666667 3.12 0.771428571 0.8 14 6
GaRu_group1 5 0.39 0.5004 1.3 3.85 2.005 3.917 11 75 2.6 2.51 0.992063492 0.02 1.58 0.926829268 0.12 1 3 1 0.27 0.21600000000000003 1.835 1.6480000000000001 0.018059929 1.0 0.650671785 1.82 1.0 0.0 21 9
ZnAu_group1 1 0.89 4.2276 1.32 5.11 2.095 5.8653 23 109 2.7 2.59 0.932835821 0.18 2.25 0.490066225 1.54 2 4 0 0.25 0.33 1.315 1.755 0.015503563 1.0 0.706766917 1.56 1.0 0.0 23 7
ZnLu_group1 9 0.38 2.4309 1.35 3.775 1.46 4.96695 15 101 3.1 2.81 0.8012820509999999 0.62 1.74 0.74 0.52 2 4 0 0.24 0.5 1.32 1.34 0.014296816 0.771428571 0.557863501 2.98 0.771428571 0.8 15 6
ZnYb_group1 9 0.55 2.2494 1.35 3.775 1.375 4.8762 15 100 3.1 2.81 0.8012820509999999 0.62 1.87 0.654867257 0.78 2 5 1 0.34 0.5 1.27 1.34 0.028486388999999997 0.771428571 0.52367688 3.42 0.771428571 0.8 15 6
ZnTm_group1 9 0.4 2.0776 1.35 3.775 1.45 4.7903 15 99 3.1 2.81 0.8012820509999999 0.62 1.76 0.725490196 0.56 2 5 1 0.24 0.5 1.32 1.34 0.014296816 0.771428571 0.522222222 3.44 0.771428571 0.8 15 6
ZnEr_group1 9 0.41 1.9154 1.35 3.775 1.445 4.7092 15 98 3.1 2.82 0.7961783440000001 0.64 1.77 0.718446602 0.58 2 5 1 0.24 0.5 1.32 1.34 0.014296816 0.771428571 0.517906336 3.5 0.771428571 0.8 15 6
ZnHo_group1 9 0.42 1.7628 1.35 3.775 1.44 4.6329 15 97 3.1 2.83 0.791139241 0.66 1.78 0.711538462 0.6 2 5 1 0.24 0.5 1.32 1.34 0.014296816 0.771428571 0.515068493 3.54 0.771428571 0.8 15 6
ZnDy_group1 9 0.43 1.6199 1.35 3.775 1.435 4.56145 15 96 3.1 2.84 0.7861635220000001 0.68 1.79 0.704761905 0.62 2 5 1 0.29 0.5 1.295 1.34 0.020805516 0.771428571 0.51226158 3.58 0.771428571 0.8 15 6
ZnTb_group1 9 0.45 1.4865 1.35 3.775 1.425 4.49475 15 95 3.1 2.84 0.7861635220000001 0.68 1.92 0.627118644 0.88 2 5 1 0.24 0.5 1.32 1.34 0.014296816 0.771428571 0.48329048799999996 4.02 0.771428571 0.8 15 6
ZnGd_group1 9 0.45 1.3627 1.35 3.775 1.425 4.43285 15 94 3.15 2.86 0.776397516 0.72 1.82 0.685185185 0.68 2 5 1 0.34 0.5 1.27 1.34 0.028486388999999997 0.75 0.48081841399999997 4.06 0.75 0.9 15 6
GaRh_group1 4 0.47 0.441 1.1 3.75 2.045 3.9467 12 76 2.65 2.51 0.992063492 0.02 1.57 0.938271605 0.1 1 3 1 0.29 0.196 1.845 1.6580000000000001 0.020805516 0.962962963 0.6726190479999999 1.65 0.962962963 0.1 22 9
ZnEu_group1 9 1.65 1.2486 1.35 3.775 0.825 4.3758 15 93 3.2 3.1 0.6756756759999999 1.2 2.05 0.564885496 1.14 2 5 1 0.29 0.5 1.295 1.34 0.020805516 0.72972973 0.47715736 4.12 0.72972973 1.0 15 6
ZnNd_group1 9 0.51 0.9637 1.35 3.775 1.395 4.23335 15 90 3.2 3.09 0.679347826 1.18 2.04 0.569230769 1.12 2 5 1 0.24 0.5 1.32 1.34 0.014296816 0.72972973 0.471177945 4.22 0.72972973 1.0 15 6
ZnPr_group1 9 0.52 0.888 1.35 3.775 1.39 4.1955 15 89 3.2 2.9 0.757575758 0.8 2.06 0.560606061 1.16 2 5 1 0.34 0.5 1.27 1.34 0.028486388999999997 0.72972973 0.41964285700000004 5.2 0.72972973 1.0 15 6
ZnCe_group1 9 0.53 0.8219 1.35 3.775 1.385 4.16245 15 88 3.2 2.9 0.757575758 0.8 1.89 0.643478261 0.82 2 5 1 0.34 0.5 1.27 1.34 0.028486388999999997 0.72972973 0.417777778 5.24 0.72972973 1.0 15 6
ZnLa_group1 9 0.55 0.7653 1.35 3.775 1.375 4.13415 15 87 3.3 2.94 0.73964497 0.88 2.1 0.544117647 1.24 2 4 0 0.09 0.5 1.395 1.34 0.0020229510000000003 0.692307692 0.61038961 2.4 0.692307692 1.2 15 6
ZnBa_group1 10 0.76 0.7184 2.05 3.425 1.27 4.1107 14 86 3.5 3.23 0.631313131 1.46 2.23 0.496644295 1.5 2 2 2 0.36 0.7090000000000001 1.26 1.2355 0.031880742999999996 0.627906977 0.5526161079999999 3.0439999999999996 0.627906977 1.6 14 5
ZnRh_group1 3 0.63 0.0253 0.15 4.375 1.965 3.73885 21 75 2.7 2.5 1.0 0.0 1.55 0.9135802470000001 0.14 1 4 0 0.55 0.03 1.715 1.575 0.072836172 1.0 0.746031746 1.28 1.0 0.0 21 7
ZnZr_group1 8 0.32 0.2994 0.81 4.045 1.49 3.6018 16 70 2.9 2.7 0.8620689659999999 0.4 1.6 0.860465116 0.24 1 4 0 0.26 0.27 1.57 1.455 0.016757996 0.870967742 0.665486726 1.89 0.870967742 0.4 16 7
ZnY_group1 9 0.43 0.3472 1.26 3.82 1.435 3.5779 15 69 3.15 2.87 0.771604938 0.74 1.78 0.711538462 0.6 1 4 0 0.03 0.47 1.425 1.355 0.000224975 0.75 0.6394557820000001 2.12 0.72972973 1.0 15 6
CuEr_group1 8 0.66 2.0032 1.38 3.79 1.57 4.6653 14 97 3.1 2.74 0.74522293 0.8 1.74 0.689320388 0.64 2 5 1 0.12 0.76 1.14 1.47 0.003593528 0.771428571 0.561983471 3.18 0.771428571 0.8 14 6
CuHo_group1 8 0.67 1.8506 1.38 3.79 1.565 4.5889999999999995 14 96 3.1 2.75 0.740506329 0.82 1.75 0.682692308 0.66 2 5 1 0.12 0.76 1.14 1.47 0.003593528 0.771428571 0.55890411 3.22 0.771428571 0.8 14 6
ZnSm_group1 9 0.48 1.1440000000000001 1.35 3.775 1.41 4.3235 15 92 3.2 2.87 0.771604938 0.74 1.84 0.672727273 0.72 2 5 1 0.24 0.5 1.32 1.34 0.014296816 0.72972973 0.45410628 4.52 0.72972973 1.0 15 6
CuDy_group1 8 0.68 1.7077 1.38 3.79 1.56 4.51755 14 95 3.1 2.76 0.735849057 0.84 1.76 0.6761904759999999 0.68 2 5 1 0.07 0.76 1.115 1.47 0.00122425 0.771428571 0.555858311 3.26 0.771428571 0.8 14 6
GaAg_group1 2 0.12 0.315 1.24 3.82 1.87 4.0097 14 78 2.9 2.6 0.9402985070000001 0.16 2.05 0.5891472870000001 1.06 1 1 1 0.63 0.114 1.385 1.8130000000000002 0.094461061 0.8125 0.7136842109999999 1.36 0.8125 0.6 24 9
BrCs_group1 16 2.17 1.9753 5.41 4.885 1.875 5.42025 8 90 3.75 3.49 0.485106383 2.42 3.63 0.994505495 0.02 2 1 1 2.06 2.026 1.8 1.672 0.65385586 0.44230769200000003 0.27842227399999997 6.22 0.44230769200000003 2.9 18 9
RuLu_group1 5 0.93 2.5156 1.4 3.8 1.735 4.9246 11 115 3.05 2.81 0.8012820509999999 0.62 1.82 0.82 0.36 1 4 0 0.77 0.45 1.585 1.315 0.13776291 0.7428571429999999 0.772997033 1.53 0.7428571429999999 0.9 11 7
RuYb_group1 5 1.1 2.3341 1.4 3.8 1.65 4.83385 11 114 3.05 2.81 0.8012820509999999 0.62 1.95 0.725663717 0.62 1 5 1 0.87 0.45 1.535 1.315 0.17239972399999998 0.7428571429999999 0.7256267409999999 1.97 0.7428571429999999 0.9 11 7
TcTa_group1 2 0.4 2.9642 0.11 4.055 1.7 5.0917 12 116 2.8 2.61 0.947761194 0.14 1.57 0.9873417720000001 0.02 1 4 0 0.24 0.17 2.06 1.425 0.014296816 0.931034483 0.9498207890000001 0.28 0.931034483 0.2 12 8
TcHf_group1 3 0.6 2.7608 0.2 3.9 1.6 4.99 11 115 2.9 2.71 0.881944444 0.34 1.64 0.929411765 0.12 1 4 0 0.45 0.35 1.955 1.335 0.049364908 0.870967742 0.910652921 0.52 0.870967742 0.4 11 8
NbRu_group1 3 0.6 0.1645 0.5 4.25 1.9 3.58455 13 85 2.75 2.59 0.932835821 0.18 1.6 0.951219512 0.08 0 4 0 0.06 0.13 2.0 1.475 0.000899595 0.896551724 0.94384058 0.31 0.896551724 0.3 13 8
ZrPt_group1 6 0.95 4.2687 1.96 4.62 1.805 5.58645 14 118 2.9 2.75 0.896551724 0.3 1.6 0.860465116 0.24 1 4 0 0.21 0.4 1.805 1.52 0.010964446999999999 0.870967742 0.955752212 0.25 0.870967742 0.4 14 8
ZrIr_group1 5 0.87 3.9824 1.76 4.52 1.765 5.4433 13 117 2.9 2.72 0.8758620690000001 0.36 1.63 0.895348837 0.18 1 4 0 0.17 0.36 1.785 1.5 0.007198962 0.870967742 0.930265487 0.39399999999999996 0.870967742 0.4 13 8
ZrOs_group1 4 0.87 3.7814 1.26 4.27 1.765 5.3428 12 116 2.85 2.71 0.868965517 0.38 1.63 0.895348837 0.18 1 4 0 0.15 0.33 1.775 1.485 0.005609209 0.838709677 0.9380530970000001 0.35 0.838709677 0.5 12 8
ZrRh_group1 5 0.95 0.2741 0.66 3.97 1.805 3.58915 13 85 2.9 2.7 0.8620689659999999 0.4 1.67 0.941860465 0.1 0 4 0 0.29 0.24 1.845 1.44 0.020805516 0.870967742 0.892035398 0.61 0.870967742 0.4 13 8
ZrRu_group1 4 0.87 0.2147 0.86 4.07 1.765 3.55945 12 84 2.85 2.7 0.8620689659999999 0.4 1.68 0.953488372 0.08 0 4 0 0.27 0.22 1.835 1.43 0.018059929 0.838709677 0.922123894 0.44 0.838709677 0.5 12 8
GaIr_group1 4 0.39 3.2673 2.2 4.3 2.005 5.80085 12 108 2.65 2.53 0.9921259840000001 0.02 1.53 0.9870129870000001 0.02 2 3 1 0.17 0.076 1.785 1.7180000000000002 0.007198962 0.962962963 0.644977169 1.8659999999999999 0.962962963 0.1 22 9
YTl_group1 10 0.4 1.2575 0.01 3.195 1.42 4.03305 6 120 3.7 3.1 0.9135802470000001 0.28 2.07 0.990384615 0.02 1 3 1 0.28 0.669 1.55 1.4545 0.019409169 0.947368421 0.760204082 1.41 0.9736842109999999 0.1 16 8
YAu_group1 8 1.32 4.5748 2.58 4.48 1.88 5.6917 14 118 3.15 2.96 0.827160494 0.56 2.55 0.6887417220000001 0.94 1 4 0 0.22 0.8 1.3 1.52 0.012027089 0.75 0.904761905 0.56 0.72972973 1.0 14 7
YIr_group1 6 0.98 4.0302 2.21 4.295 1.71 5.4194 12 116 3.15 2.89 0.783950617 0.7 1.81 0.740384615 0.54 1 4 0 0.46 0.56 1.64 1.4 0.051525145 0.75 0.893877551 0.624 0.72972973 1.0 12 7
YCd_group1 9 0.47 0.5144 1.14 3.76 1.455 3.6615 15 87 3.35 3.1 0.9135802470000001 0.28 1.96 0.884615385 0.24 0 2 2 0.01 0.4 1.405 1.32 2.5e-05 0.8611111109999999 0.753401361 1.45 0.837837838 0.6 15 7
YAg_group1 8 0.71 0.4479 1.25 3.815 1.575 3.62825 14 86 3.4 2.96 0.827160494 0.56 2.33 0.80620155 0.5 0 2 2 0.34 0.75 1.24 1.495 0.028486388999999997 0.8888888890000001 0.8078231290000001 1.13 0.864864865 0.5 14 7
YRh_group1 6 1.06 0.3219 1.11 3.745 1.75 3.56525 12 84 3.15 2.87 0.771604938 0.74 1.85 0.778846154 0.46 0 4 0 0.58 0.44 1.7 1.34 0.080660682 0.75 0.857142857 0.84 0.72972973 1.0 12 7
